Creator,SwallowIDs,URLs
"Leblanc, Danielle",10369,
"Leblanc, Georgette",10386,https://www.wikidata.org/wiki/Q47519374
"Leblanc, Holly",10486,
"Leblanc, Samuel",10249,
"Leblanc, Tyler",10622, http://viaf.org/viaf/7156917201254792652
"Lebleu Richter, Jeannette",9102,
"Lebrecht, Norman",11685; 12880; 12901,"http://viaf.org/viaf/110841138; https://viaf.org/viaf/110841138/#Lebrecht,_Norman,_1948-...."
"Leckie, Dale Allen",9070,http://viaf.org/viaf/94939526
"Leckie, Keith Ross",13660,http://viaf.org/viaf/55664489
"Leckie, Ross",8269; 8918,http://viaf.org/viaf/55664489
"Leclerc, Christine",10428,"http://viaf.org/viaf/106742488/#Leclerc,_Christine,_1979-"
"Leclerc, Claudya",10755,
"Leclerc, Héloïse",12824,
Lederhendler,9699,http://viaf.org/viaf/28809989
"Lederman, Marsha",11596; 11682; 11794; 12424; 8778,"http://viaf.org/viaf/225778646; https://viaf.org/viaf/225778646/#Lederman,_Marsha; https://viaf.org/viaf/35159697773103312746/#Lederman,_Marsha_(Western_arts_correspondent)"
"Leduc, Amanda",10006; 10194; 10296; 10324; 10477; 11275; 11351; 13910; 8323; 8619; 8803; 9479; 9536; 9549; 9604; 9995,"http://viaf.org/viaf/281628920; https://viaf.org/viaf/281628920/#Leduc,_Amanda"
"Ledwell, Jane",13277,http://viaf.org/viaf/106218365
"Lee, AJ",10283,http://viaf.org/viaf/4157222863184972275
"Lee, Cliff",8934,
"Lee, Corey",9080,
"Lee, David",13671,
"Lee, David Neil",9487,"https://viaf.org/viaf/94234754/#Lee,_David,_1952-...."
"Lee, Deirdre",9124,
"Lee, Dierdre",10793,
"Lee, Erica Violet",11661,
"Lee, Fonda",10296; 13352; 8853,http://viaf.org/viaf/313288274
"Lee, Hermione",8991,http://viaf.org/viaf/17237264
"Lee, JJ",10287; 8604,
"Lee, Jen Sookfong",10967; 11124; 11974; 8632; 9368; 9417; 9886; 9907,"http://viaf.org/viaf/24378348; https://viaf.org/viaf/24378348/#Lee,_Jen_Sookfong"
"Lee, Jessica J.",13956,http://viaf.org/viaf/119147965926084082980
"Lee, Justin",13510,
"Lee, Karen",8781,
"Lee, Karen K.",10381,"http://viaf.org/viaf/8680156497258417740005/#Lee,_Karen_K."
"Lee, Lai",8587,
"Lee, Naia",8583,
"Lee, Nancy",11118; 13495,"http://viaf.org/viaf/79206029; https://viaf.org/viaf/79206029/#Lee,_Nancy,_1970-...."
"Lee, Owen",10794,
"Lee, Philip",9671; 9673; 9737,"https://viaf.org/viaf/75806473/#Lee,_Philip_J."
"Lee, Sharon Sunhye",11615,
"Lee, Sherry",12029,
"Lee, Y. S.",11327,http://viaf.org/viaf/12639900
"Lee, Ys",9538,
"Leedahl, Taylor",13700,http://viaf.org/viaf/96842676
"Lefevbre, Mark Leslie",10040,
"Lefevre, Marion J.",13742,
"Legacé Dowson, Anne",12944,
"Legault, Sarah",8330,
"Legendre, Claire",13945,http://viaf.org/viaf/34619808
"Legris, Sylvia",11676; 13310,http://viaf.org/viaf/32301503
"Lehnen, Leila",13963,http://viaf.org/viaf/58781026
"Lehrer, Alice Becker",12906,http://viaf.org/viaf/107416202
"Lehrer, Riva",11791,"https://viaf.org/viaf/78957440/#Lehrer,_Riva,_1958-"
"Leilani, Raven",8513,http://viaf.org/viaf/7158427928306061742
"Leipciger, Sarah",8971,http://viaf.org/viaf/316000012
"Leiren-Young, Mark",11818; 8955,http://viaf.org/viaf/26312271
"Leite, Laury",13322,http://viaf.org/viaf/8151715652413782325
"Leith, Linda",13964; 13969; 8566,http://viaf.org/viaf/92324885
"Lemay, Shawna",10955; 11526,http://viaf.org/viaf/44220265
"Lemberg, R.B.",8181,
"Lemoine, Scott",7913,
Lend Me Your Underbelly,13634,
"Lennard, Natasha",10098,http://viaf.org/viaf/1152259512216981523
"Lentricchia, Frank",10067; 10075,http://viaf.org/viaf/14784322
"Leo, Tchadas",11400,
"Leon, Donna",10594,http://viaf.org/viaf/27182947
"Leonard, Sarah",10098,http://viaf.org/viaf/283144782706014940764
"Leonardson, Eric",9113,http://viaf.org/viaf/19506626
"Leong, SL",10284,
"Leroux, John",9793; 9799,"https://viaf.org/viaf/26998140/#Leroux,_John,_1970-"
"Leroux, Mathieu",10263; 9105,"http://viaf.org/viaf/4788151656281008400006; http://viaf.org/viaf/4788151656281008400006/#Leroux,_Mathieu,_1977-"
"Lesage, Doreen ‘Shingwauk Pine’",12284,
"Leslie, Alex",10139,http://viaf.org/viaf/45854156
"Lester, Louella",12319; 13224,
"Lester, R. Daniel",10281,http://viaf.org/viaf/102880872
"Leuck, Angela",10841; 11164; 11230,http://viaf.org/viaf/106405958
"Leung, Carianne",8852,https://www.wikidata.org/wiki/Q66490586
"Leung, Carrianne",10327; 10428; 11531; 7923,"http://viaf.org/viaf/1501154867591660100009; http://viaf.org/viaf/294270796; http://viaf.org/viaf/294270796/#Leung,_Carrianne_K._Y"
"Leung, Laifong",13634; 8648,http://viaf.org/viaf/114972363
"Levell, Nicola",9885,http://viaf.org/viaf/306378803
"Leventhal, Anna",12456,http://viaf.org/viaf/102841833
"Leventoyannis Harvey, Stella",11880; 13453,http://viaf.org/viaf/290880639
"Levesque Sioui, Andrée",13148; 13156; 13171,http://viaf.org/viaf/317012212
"Levine, Allan",12268,http://viaf.org/viaf/15680413
"Levine, Eleanor",10036,http://viaf.org/viaf/927145857122022921803
"Levine, Elise",9816; 9817,http://viaf.org/viaf/12199901
"Levine, Liz",13482; 8746,http://viaf.org/viaf/44155707017622411392
"Levinson, Marc",8900,http://viaf.org/viaf/75397610
"Levinson, Zav",13611,http://viaf.org/viaf/11165624636442240623
"Leviston, Frances",8951,http://viaf.org/viaf/15104086
"Levitin, Daniel",12908,http://viaf.org/viaf/17470044
"Levitt, Peter",11894,http://viaf.org/viaf/20973010
"Levy, Deborah",9027,http://viaf.org/viaf/19937804
"Levy, Jerry",10037,http://viaf.org/viaf/1513159477706127990008
"Levy, Joshua",13662; 8263; 9735,http://viaf.org/viaf/21157098300072550731
"Levy, Michelle",12530; 12769; 12802,http://viaf.org/viaf/20010042
"Lewinsky, Quick",8425,
"Lewis, Billy",10771,
"Lewis, Catherine",10588; 11155; 11590; 13635; 13646,http://viaf.org/viaf/346146998389918941194; http://viaf.org/viaf/5166652896722450874
"Lewis, Christine",10098,
"Lewis, Francine",9704,
"Lewis, Naomi K",11687; 9895,"http://viaf.org/viaf/51503970; https://viaf.org/viaf/51503970/#Lewis,_Naomi_K.,_1976-"
"Lewis, Naomi K.",10487; 9102,http://viaf.org/viaf/51503970
"Lewis, Rob",13845,http://viaf.org/viaf/24152501164810682933
"Li, Ashley",11576,
"Li, Jason",10477,
"Li, Vivian",13655,
"Liao, Victoria",10296,
"Libby, Jeffrey",11027,
"Libenson, Terri",9540,"https://viaf.org/viaf/266150468448304172532/#Libenson,_Terri"
Liberty Skye,12781,
"Lieberman, Moti",11698; 11708; 7886; 7963; 7964; 8168; 8187; 8252; 8255; 8256; 8288; 8295; 8297; 8607,
"Liebich, Rayya",12423,http://viaf.org/viaf/6161632324810642742
"Liem, T.",11833,
"Liem, Tess",12698; 8227,http://viaf.org/viaf/4153182732826792769
"Light, Jay",13884,
"Lilley, Joanna",11174; 12106; 12467; 13526; 13529; 13628; 8621; 9120; 9607; 9962,"http://viaf.org/viaf/305358770; https://viaf.org/viaf/305358770/#Lilley,_Joanna,_1967-"
Lily Wang,9376,http://viaf.org/viaf/123158669873627201563
"Lim, Diya",9337,http://viaf.org/viaf/249551303
"Lim, Natalie",10717,"https://viaf.org/viaf/1153470759145080551/#Lim,_Natalie_Yen_Nee_1987-"
"Lim, Thea",10380; 9146; 9547; 9555,"http://viaf.org/viaf/106707711; http://viaf.org/viaf/106707711/#Lim,_Thea,_1981-"
"Limón, Ada",10098,http://viaf.org/viaf/34204388
"Lin, Hartley",10228,http://viaf.org/viaf/54152864114904821495
"Lin, Hudson",8464,http://viaf.org/viaf/16162478858737461801
"Lin, Jeremy Atherton",13000; 8586,http://viaf.org/viaf/40146936690813781472
"Lin, Judy I.",10477,"https://viaf.org/viaf/2162606473049531687/#Lin,_Judy_I."
"Lin, Juliette",13888,
"Lin, Le",8226,
"Lindberg, Tracey",10424,"http://viaf.org/viaf/315983315/#Lindberg,_Tracey,_1967-...."
"Lindner, Erik",12049,http://viaf.org/viaf/51872970
"Lindon, Mathieu",13945,http://viaf.org/viaf/56629879
"Lindsay, Bakari",9053,
"Lindsay, James",12110; 13666; 7918; 9466,http://viaf.org/viaf/316787372
"Lindsey, GB",8456,
"Ling, Justin",12731; 8438; 9291,http://viaf.org/viaf/20158367830901282729
"Linka, Ruth",8664,
"Linklater, Gail",8882,
"Linklater, Teedly",10930,
"Linklater, Teresa",13055,
"Linn, Brenda",13612,
"Linwood, Barclay",9515,http://viaf.org/viaf/79565604
"Lipscombe, Jesse",10203,
"Lipsett, Arthur",9836,"http://viaf.org/viaf/295479390/#Lipsett,_Arthur,_1936-1986"
"Lipsius, Mike",9605; 9617; 9684; 9710; 9715; 9730; 9898; 9905; 9952; 9985,
"Lipsyc, Sonia-Sarah",12898,http://viaf.org/viaf/14907299
"Lisac, Mark",9152; 9155,http://viaf.org/viaf/63254354
"Lisicky, Paul",9095,http://viaf.org/viaf/68571349
"Little Mustache, Mary Ellen",13442,
"Little, Geoffrey",12825,
"Little, Willow Loveday",11703; 11770,
"Littlejohn, Sophia",13787; 13788,
"Litzenberger, Shannon",9053,
"Liu, Karon",10477; 10525; 12554,
"Lizee, Marilyn",9087,http://viaf.org/viaf/27163088554194542020
"Lo, Anita",8648,
"Lo, Chase",10588; 13754,
"LoRe, Josephine",10152; 11612,
"Locke, Katherine",10376,"http://viaf.org/viaf/8624150470104404330008/#Locke,_Katherine"
"Lockhart, D. A.",10477; 11223; 11972; 8261; 9937; 9938; 9991,"http://viaf.org/viaf/310724853; https://viaf.org/viaf/310724853/#Lockhart,_D._A.,_1976-"
"Lockhart, D.A.",11610,http://viaf.org/viaf/2118153716401558820004
"Lockhart, Daniel",11943,"https://viaf.org/viaf/310724853/#Lockhart,_D._A.,_1976-"
"Logan, Nate",12119,http://viaf.org/viaf/71155563931513000806
"Logan, Zachari",10658,http://viaf.org/viaf/5146634510341932830
"Loh, Joseph Synn Kune",8648,http://viaf.org/viaf/249664635
"Loiselle, Annette",13339,
"London, Jack R.",12280,
"Lonsdale, Margaret",11618,
"Loomis, Erik",10098,http://viaf.org/viaf/310715189
"Lopez, Tamara",8440,
"Lord, Karen",12687; 13352,http://viaf.org/viaf/106765108
"Lorde, Audre",8455,http://viaf.org/viaf/61565157
"Lordon, Claire",8654,http://viaf.org/viaf/8146331815718690841
"Lore, Danny",8293,http://viaf.org/viaf/2161329916552132458
"Lore, Josephine",11460; 11560; 11563; 11654; 11668,
Lorelei,13809,
"Lorer, Danica",13311; 13713,
"Loreto, Nora",10380; 10469; 10477; 10527,"http://viaf.org/viaf/26159939314325250530/#Loreto,_Nora; https://viaf.org/viaf/26159939314325250530/#Loreto,_Nora"
"Lorimer, Jim",12685,
"Lorimer, Lois",9620,http://viaf.org/viaf/34145541809596600096
"Loring, Kevin",10246,http://viaf.org/viaf/88451751
"Lorsung, Éireann",9700,http://viaf.org/viaf/33891514
"Lotayef, Ehab",11525; 8355; 8359,http://viaf.org/viaf/102876232
"Lou, Ehan",8779,
"Lou, Ethan",10469,"https://viaf.org/viaf/367160483752104991166/#Lou,_Ethan"
"Louann, Franci",13544,http://viaf.org/viaf/105573704
"Loucas, Christina",11290,"https://viaf.org/viaf/1383159234742303372540/#Loucas,_Christina"
"Loughlin, Genevieve",13294,
"Louie, Clarence",13360,http://viaf.org/viaf/18163810187838820623
"Louw, Aimee",11694; 8483; 8486; 8493; 8494,http://viaf.org/viaf/33157340651009921206
"Love, Joy",10486,
"Loveday Little, Willow",13587; 13591; 13592; 8288,
"Loveday, Jeremy",11614; 13798,
"Loveday, Jolene",10926,
"Loveday, Willow",7886,
"Loveys, Grant",12104,http://viaf.org/viaf/250271639
"Lowe, Terence",10588,http://viaf.org/viaf/303960954
"Lowe, Terence M.",10411,http://viaf.org/viaf/303960954
"Lowther, Christine",11846; 13861,"http://viaf.org/viaf/58617852; https://viaf.org/viaf/58617852/#Lowther,_Christine,_1967-"
"Loyer, Celina",10207,
"Loyst, Cynthia",12616; 13377; 8885,http://viaf.org/viaf/38155563945113000467
"Ltaif, Nadine",7963,http://viaf.org/viaf/8397156497237217740004
"Lu, Emily",10832,
"Lu, Kathy",10477,
"Lubendo, Noah",13750,
"Lubrin, Canisia",10400; 11296; 11577; 11661; 11672; 12823; 8197; 8354; 8402; 8780; 9376; 9520,"http://viaf.org/viaf/928150323873509972212; https://viaf.org/viaf/928150323873509972212/#Lubrin,_Canisia,_1984-"
"Luby, Brittany",10467,"https://viaf.org/viaf/14152930945009672501/#Luby,_Brittany,_1984-...."
"Lucas, Chad",10106,https://www.chadlucaswrites.com/
Lucy,12308,
"Ludmerer, Nancy",10285,
"Ludwig, Autumn",11456,
"Ludwig, Sidura",8806,http://viaf.org/viaf/4161632
"Lui, Elaine",10462,"http://viaf.org/viaf/305409473/#Lui,_Elaine,_1973-"
"Lui, Lainey",9432,
"Lui, Trevor",13434,http://viaf.org/viaf/36160422949868031229
"Lukasik, Lynda",9486,
"Lukidis, Lydia",9334,http://viaf.org/viaf/194148449875315692321
"Lukowich, Morris",12292,http://viaf.org/viaf/431165060289132740004
"Lum, Andrea",8336,
"Lund, Kirstin",13298,
"Lundgren, Jodi",11937,http://viaf.org/viaf/3704031
"Lundy, Randy",10555; 10810; 13049; 13059; 13061; 13557; 8873; 9376; 9488,"http://viaf.org/viaf/70927113; https://viaf.org/viaf/70927113/#Lundy,_Randy,_1967-"
"Lundy, Susan",12561,http://viaf.org/viaf/282589731
"Luo, Anna",13893,
"Lutes, Jason",7968; 8516, http://viaf.org/viaf/67370090; http://viaf.org/viaf/67370090
"Luyk, Sean",12475,http://viaf.org/viaf/3146217844209142580
"Ly, David",11169; 11543; 11569; 13487; 13616; 8213; 8481; 9822,"http://viaf.org/viaf/23155409625508741386; https://viaf.org/viaf/23155409625508741386/#Ly,_David"
"Lye, Harriet Alida",11545; 9436,http://viaf.org/viaf/12151654651108280086
"Lyga, Barry",10376,"http://viaf.org/viaf/19069366/#Lyga,_Barry,_1971-"
"Lynch, Marc Herman",10059; 8808; 9005; 9008,http://viaf.org/viaf/29158427933906061780
"Lynes, Jeanette",8994; 9967,http://viaf.org/viaf/35686794
"Lynk, Mary",9492,
"Lyon, Annabel",10206; 11252; 12811; 12821; 8985; 9292; 9525; 9526,"http://viaf.org/viaf/75083364; https://viaf.org/viaf/75083364/#Lyon,_Annabel,_1971-...."
"Lyons, MJ",11759; 8424; 8434; 8439; 8466,http://viaf.org/viaf/744160483761004991596
"Läckberg, Camilla",9541,"https://viaf.org/viaf/42169286/#L%C3%A4ckberg,_Camilla,_1974-"
"Léveillé, J. R.",11053; 12321,"http://viaf.org/viaf/3736721; https://viaf.org/viaf/3736721/#L%C3%A9veill%C3%A9,_J._R._(J._Roger),_1945-"
"Léveillé, JR",11000,
"Lévesque Sioui, Andrée",13162,http://viaf.org/viaf/317012212
"MCDONALD, MCKENZIE",11680,
"Ma, Yeong-Shin",8520,http://viaf.org/viaf/1476159941671925440001
"Maalouf, Amin",8935,http://viaf.org/viaf/108192345
"Mac, Mitch",13890,
"MacAskill, Annick",10116; 10777; 10792; 8259; 8268; 9804,"http://viaf.org/viaf/806145857117622922223; https://viaf.org/viaf/806145857117622922223/#MacAskill,_Annick"
"MacDonald, Ann-Marie",10388; 13966; 9984,"http://viaf.org/viaf/32833814; http://viaf.org/viaf/32833814/#MacDonald,_Ann-Marie,_1958-..."
"MacDonald, Cameron",10283,http://viaf.org/viaf/18154440184835342720
"MacDonald, Dan",11949,
"MacDonald, Janice",10852,http://viaf.org/viaf/42976544
"MacDonald, Janice E.",9649; 9650,http://viaf.org/viaf/42976544
"MacDonald, John",11972,
"MacDonald, Lisa",11508,http://viaf.org/viaf/102886072
"MacDonald, Mary",11217; 11258; 11296; 8594; 9055,"http://viaf.org/viaf/17272408; http://viaf.org/viaf/52152138530810981132; https://viaf.org/viaf/52152138530810981132/#MacDonald,_Mary,_1954-"
"MacDonald, Michelle",13289,
"MacDonald, Monica",8324,http://viaf.org/viaf/1482159478343927990001
"MacDonald, Sheilagh",13905,
"MacDonald, Tanis",10477; 10600; 10914; 13664; 9715; 9972,"http://viaf.org/viaf/49521043; https://viaf.org/viaf/49521043/#MacDonald,_Tanis,_1962-"
"MacDougall, Bruce",12447,http://viaf.org/viaf/117191249
"MacDougall, Charles",10351,
"MacDougall, Sarah",8964,
"MacEachern, Jessi",11108; 9565; 9946,http://viaf.org/viaf/8160604711616121799
"MacFadzean, Matthew",10174,http://viaf.org/viaf/102873316
"MacFayden, Laurie",9071; 9121,http://viaf.org/viaf/103452893
"MacGillis, Alec",13003,http://viaf.org/viaf/155148449687215691152
"MacIntyre, Linden",10865; 11298; 11581,"http://viaf.org/viaf/72622858; https://viaf.org/viaf/72622858/#MacIntyre,_Linden"
"MacIsaac, Colleen",9979,http://viaf.org/viaf/102868898
"MacIsaac, Dan",13475,http://viaf.org/viaf/14150030523110960599
"MacIsaac, Kathie",12364,http://viaf.org/viaf/11164718048302092018
"MacIvor, Daniel",11760; 9963,http://viaf.org/viaf/9979460
"MacKay, Elly",11388,http://viaf.org/viaf/296390842
"MacKay, Meg",8422,http://viaf.org/viaf/101493202
"MacKendrick, Stephanie",10376,"http://viaf.org/viaf/23155830454933070540/#MacKendrick,_Stephanie"
"MacKinnon, J.B.",11642; 11650,http://viaf.org/viaf/75836595
"MacKinnon, Shauna",12443,http://viaf.org/viaf/73328889
"MacLean, Lucinda",9570,
"MacLean, Munirah-Janetta",8355,
"MacLellan, Ainslie",12815,
"MacLennan-Dunphy, Brenda",12031,http://viaf.org/viaf/155152138632610982415
"MacLeod, Alexander",12036,http://viaf.org/viaf/41444705
"MacLeod, Carrie",8681,http://viaf.org/viaf/2160162669485955500005
"MacLeod, Elizabeth",10470,"https://viaf.org/viaf/106713553/#MacLeod,_Elizabeth,_1958-"
"MacLeod, Katherine",12807,http://viaf.org/viaf/44156495389117561605
"MacLeod, Kirsteen",11327; 11964; 13447; 13956; 9538; 9591,http://viaf.org/viaf/46146331736018690116
"MacLeod, Sue",8345,http://viaf.org/viaf/43993106
"MacLeod, Susan",10254,http://viaf.org/viaf/19162178773007850893
"MacLeod, Terry",12259; 12268; 12328; 12406; 12449,
"MacNair, Erin",10285,
"MacPherson, Barb",11900,
"MacRae, Johnny",13770; 13837,http://viaf.org/viaf/124149106300368492582
"Macarty, Jami",10152,http://viaf.org/viaf/4150868129022071516
"Macauley, Aara",9522; 9601,
"Macdonald, Catherine",9253,"http://viaf.org/viaf/106579305/#Macdonald,_Catherine,_1949-"
"Macdonald, Cathy",8882,
"Macdonald, Mary",11231,
"Mace, Jennifer",8253,
"Macfarlane, Leigh",11901,
"Macfarlane, Robert",8933; 9350,http://viaf.org/viaf/85525001
"Machado, Carmen Maria",8532,http://viaf.org/viaf/91146461453427730683
"Macher, Gloria",7964,http://viaf.org/viaf/105057873
"Macintyre, Ben",10597; 8754,http://viaf.org/viaf/39453414
"Macivor, Daniel",8959,http://viaf.org/viaf/9979460
"Mack, Katie",12564,http://viaf.org/viaf/100786976
"Mackay, Pauline",9380,http://viaf.org/viaf/103063115
"Mackenzie, Matthew",8956,http://viaf.org/viaf/304876310
"Mackie, Jeffrey",10152,http://viaf.org/viaf/21814220
"Mackling, Greg",12292,
"Maclear, Kyo",8809,http://viaf.org/viaf/116504692
"Macleod, Andrew",12033,http://viaf.org/viaf/41444705
"Macmillan, Margaret",12571,http://viaf.org/viaf/66698923
"Macpherson, Margaret",9110,http://viaf.org/viaf/72461328
"Macready, Hannah",13647,
"Madayag Knazan, Primrose",12390,http://viaf.org/viaf/13162606323949530960
"Madhavan-Reese, Sneha",13620; 8152,http://viaf.org/viaf/59168651922707692670
"Madhavji, Huse",8731,http://viaf.org/viaf/9294151778242918130004
"Maeve, Zoe",10252; 12426,http://viaf.org/viaf/10160544578509982119
"Magnus, Ebony",8715,
"Magonet, Jessica",10272; 9844,
"Maguire, Shannon",8190,http://viaf.org/viaf/296586181
"Magz, Tyler",12390,
"Maharaj, Joshna",10419,"http://viaf.org/viaf/29157640903238220855/#Maharaj,_Joshna"
"Mahoney, Dorothy",11945; 8215,"http://viaf.org/viaf/106023719; https://viaf.org/viaf/106023719/#Mahoney,_Dorothy_(Anne),_1957-"
"Mailhot, Terese Marie",11116,"https://viaf.org/viaf/7150999546329870738/#Mailhot,_Terese_Marie"
"Maillard, Keith",10461,http://viaf.org/viaf/70211652
"Maillie, Tereasa",9023; 9067,http://viaf.org/viaf/5156916979154790214
"Maillie, Teresa",9040,
"Mainville, Valerie",12342,
"Maitland, Crystal",12936,
"Maitland, Kristine",10528,
"Mai’stoistowaakii, Sheena Potts",13410,
"Major, Alice",10035; 10959; 11177; 11556; 9910,"http://viaf.org/viaf/55968118; https://viaf.org/viaf/55968118/#Major,_Alice,_1949-"
"Major, Carol",10959,http://viaf.org/viaf/315220690
"Major, Kevin",10421,"http://viaf.org/viaf/90622818/#Major,_Kevin,_1949-"
"Major, Mélissa",13134,
"Majora, Babia",10540; 8425,
"Majumdar, Megha",12509,http://viaf.org/viaf/1562168109569943630009
"Majumder, Surajit Roy",8738,
"Mak, Jaymee",11853,https://viaf.org/viaf/search?query=local.names%20all%20%22Jaymee%20Mak%22&sortKeys=holdingscount&recordSchema=BriefVIAF
"Mak, Kathy",10720,
"Mak, Starkie",9255,
"Makarova, Liza",9566,
"Malaborza, Sonya",10102; 10369; 13920; 9963,http://viaf.org/viaf/106688875
"Malcolm, Chevelle",11493,
"Maldonado, Crystal",10377,"http://viaf.org/viaf/171158669727727200720/#Maldonado,_Crystal"
"Malena, Anne",13917,http://viaf.org/viaf/67197253
"Malik, Laila",8851,
"Malik, Tariq",10590; 13639,http://viaf.org/viaf/53880956
"Malla, Pasha",10006; 10463; 9577; 9998,"http://viaf.org/viaf/48705365; http://viaf.org/viaf/48705365/#Malla,_Pasha,_1978-"
"Malli, Nisa",10477,"https://viaf.org/viaf/50164294802008410200/#Malli,_Nisa"
"Maloff, Vera",8591,http://viaf.org/viaf/124158669860727201225
"Malone, Stephens Gerard",10125,http://viaf.org/viaf/86239032
"Maloukis, Rose",12108,http://viaf.org/viaf/106083524
"Malyon, Carol",9898,http://viaf.org/viaf/26931958
"Manasc, Vivian",10854; 9065,http://viaf.org/viaf/1841033
"Manaï, Bochra",13981,http://viaf.org/viaf/179795392
"Mand, Jordi",8956,http://viaf.org/viaf/306378827
"Mandel, Emily St. John",11218; 11255; 12495; 9145; 9456,"http://viaf.org/viaf/26544203; https://viaf.org/viaf/26544203/#Mandel,_Emily_St._John,_1979-...."
"Mandybura, Cadence",10284,
"Manery, Rob",12105,http://viaf.org/viaf/15154865966059942790
"Manji, Firoze",12344; 12346; 12347,http://viaf.org/viaf/70499196
"Manley, Alex",10288; 11918; 13934; 8227,http://viaf.org/viaf/244162902861777782158
"Mann, Murray",13537,
"Mannell, Julie",10052; 8229,
"Manning, Corinne",9091; 9095; 9860,http://viaf.org/viaf/38157340663009921674; http://viaf.org/viaf/65896079
"Manning, Julie Tamiko",10587,http://viaf.org/viaf/63156563427323240990
"Manole, Diana",13651,http://viaf.org/viaf/34148703961936930459
"Manthorpe, Jonathan",10315; 13002,http://viaf.org/viaf/4619772
"Manuel, Doreen",10188,http://viaf.org/viaf/56156251686007990330
"Manuel, Jennifer",11886,http://viaf.org/viaf/808145857117622922227
"Manuel, Kanahus",10188,
Many Lights,13884,
"Mapa, Lorina",12671,http://viaf.org/viaf/316961133
"Mapili, Andrea",8961,http://viaf.org/viaf/17162060338051401201
"Maracle, Lee",11089; 11090; 13127; 13148; 13765; 8663; 8795; 9430,"http://viaf.org/viaf/25511009; https://viaf.org/viaf/25511009/#Maracle,_Lee,_1950-"
Marc-Alexandre Chan,16085,https://wiki.youngcomposers.com/Profile:Marc-Alexandre_Chan
"Marceau, Gabrielle",8245,
"Marchand, Blaine",9951,http://viaf.org/viaf/62904793
"Marche, Stephen",13366,http://viaf.org/viaf/60933055
"Marcon, E.C.",10529,
"Marcotte, Amanda",9000,
Margaret Christakos,8308,http://viaf.org/viaf/34015325
"Mariam, Bethlehem",10239,
"Marin, M-X",11694,
"Marken, Ron",10605,http://viaf.org/viaf/50846531
"Markides, Jennifer",9084,http://viaf.org/viaf/4152023603003310085
"Markotić, Nicole",10477,"https://viaf.org/viaf/64343536/#Markotic%CC%81,_Nicole"
"Markotić, Nicole",12302,http://viaf.org/viaf/64343536
"Markovskaia, Luba",13930,http://viaf.org/viaf/1261156253562608110003
"Markstrom, Victoria",12467,
"Marlatt, Daphne",12799; 13962,http://viaf.org/viaf/92127388
"Marley, Jayda",13559,
"Marlow, Kathryn",9803,
"Marovitch, Maureen",8345,http://viaf.org/viaf/317002611
"Marques, Irene",9912,http://viaf.org/viaf/41312018
"Marshall Flaherty, Kate",13543,http://viaf.org/viaf/2285628
"Marshall, Anne Gerard",11461,
"Marshall, Rhiannon",13625,
"Marshall, Vanessa",10603,http://viaf.org/viaf/294680652
"Marshy, Leila",13964; 8357; 8536,http://viaf.org/viaf/327152742933527730397; http://viaf.org/viaf/3517160425267668320008
"Martel, Lynn",10243,http://viaf.org/viaf/96735232
"Martelly, Stéphane",13964; 13991,http://viaf.org/viaf/17386405
"Martignacco, Carole",10841,http://viaf.org/viaf/33988568
"Martin, D. S. (Don)",10023,http://viaf.org/viaf/315592974
"Martin, David",11848; 9117; 9118; 9119; 9120; 9121; 9122; 9124; 9125; 9126; 9127; 9129,1982-; http://viaf.org/viaf/5636156990993761180009
"Martin, Ian",13617,
"Martin, Lateef",12687; 13932,
"Martin, Lisa",9042; 9924,http://viaf.org/viaf/85279452
"Martin, Sandra",9364,
"Martin, Sara",11958,
"Martin-Bird, Samantha",10241; 10974; 9877,
"Martindale, Sheila",8398,http://viaf.org/viaf/6182408
"Martine, Aicha",9677,
"Martineau, Maureen",13993,http://viaf.org/viaf/252831579
"Martinello, Domenica",10910; 11918,"http://viaf.org/viaf/17155224410784371496; https://viaf.org/viaf/17155224410784371496/#Martinello,_Domenica"
"Martinez, John Paul",11541,
"Martinez, Pedro Santiago",10098,http://viaf.org/viaf/69164295397708412364
"Martinez, Pilar",12685,
"Martinez, Rachel",9894,http://viaf.org/viaf/270526
"Martini, Clem",12427; 9031,http://viaf.org/viaf/266279634
"Martins, Kim",10281,
"Martis, Eternity",10074; 10382; 10900; 10904; 12700; 8508; 8670; 9098,"http://viaf.org/viaf/113156563622023242754; http://viaf.org/viaf/113156563622023242754/#Martis,_Eternity"
"Martonfi, Ilona",11698; 11703; 11708; 13588; 7886; 7963; 7964; 8168; 8187; 8252; 8255; 8256; 8288; 8295; 8297; 8607, http://viaf.org/viaf/102818325; http://viaf.org/viaf/102818325
"Mas, Victoria",13952,http://viaf.org/viaf/9157340615909921693
"Masad, Ilana",11338,"https://viaf.org/viaf/171156563549323241806/#Masad,_Ilana"
"Mascarenhas, Derek",10477; 11778; 8627,"http://viaf.org/viaf/53155224392684370180; https://viaf.org/viaf/53155224392684370180/#Mascarenhas,_Derek"
"Maser, Michael",8580,http://viaf.org/viaf/183032206
"Mash, Cole",10845; 8178; 8190,"https://viaf.org/viaf/1163088288994540947/#Mash,_Cole"
"Masheane, Napo Popo",8984,
"Maskalyk, James",12652,http://viaf.org/viaf/96765534
"Maslany, Daniel",10235; 9044,https://www.wikidata.org/w/index.php?title=Q64548845&oldid=1591830961
